funzione,file,riga,tipo,passati,attesi,dettaglio
connect,PersistentDB.py,150,posizionali,5,0,
__del__,PersistentDB.py,247,posizionali,0,1,
__del__,PersistentPg.py,220,posizionali,0,1,
connect,PooledDB.py,223,posizionali,5,0,
connect,TestSteadyDB.py,129,posizionali,1,0,
connect,TestSteadyDB.py,129,keyword,,,user
connect,TestSteadyPg.py,81,posizionali,2,0,
connect,TestSteadyPg.py,102,posizionali,2,0,
gestione,wsEP_gestione.py,3264,posizionali,0,5,
gestione,wsEP_gestione.py,3268,posizionali,0,5,
gestione,wsEP_gestione.py,3272,posizionali,0,5,
gestione,wsEP_gestione.py,3276,posizionali,0,5,
gestione,wsEP_gestione.py,3280,posizionali,0,5,
gestione,wsEP_gestione.py,3284,posizionali,0,5,
gestione,wsEP_gestione.py,3288,posizionali,0,5,
gestione,wsEP_gestione.py,3292,posizionali,0,5,
gestione,wsEP_gestione.py,3296,posizionali,0,5,
gestione,wsEP_gestione.py,3300,posizionali,0,5,
gestione,wsEP_gestione.py,3304,posizionali,0,5,
gestione,wsEP_gestione.py,3308,posizionali,0,5,
gestione,wsEP_gestione.py,3312,posizionali,0,5,
gestione,wsEP_gestione.py,3316,posizionali,0,5,
gestione,wsEP_gestione.py,3320,posizionali,0,5,
gestione,wsEP_gestione.py,3324,posizionali,0,5,
gestione,wsEP_gestione.py,3328,posizionali,0,5,
gestione,wsEP_gestione.py,3332,posizionali,0,5,
gestione,wsEP_gestione.py,3336,posizionali,0,5,
gestione,wsEP_gestione.py,3340,posizionali,0,5,
gestione,wsEP_gestione.py,3344,posizionali,0,5,
gestione,wsEP_gestione.py,3348,posizionali,0,5,
gestione,wsEP_gestione.py,3352,posizionali,0,5,
gestione,wsEP_gestione.py,3356,posizionali,0,5,
gestione,wsEP_gestione.py,3360,posizionali,0,5,
gestione,wsEP_gestione.py,3364,posizionali,0,5,
gestione,wsEP_gestione.py,3368,posizionali,0,5,
gestione,wsEP_gestione.py,3372,posizionali,0,5,
gestione,wsEP_gestione.py,3376,posizionali,0,5,
gestione,wsEP_gestione.py,3380,posizionali,0,5,
gestione,wsEP_gestione.py,3384,posizionali,0,5,
gestione,wsEP_gestione.py,3388,posizionali,0,5,
gestione,wsEP_gestione.py,3392,posizionali,0,5,
gestione,wsEP_gestione.py,3396,posizionali,0,5,
gestione,wsEP_gestione.py,3400,posizionali,0,5,
gestione,wsEP_gestione.py,3404,posizionali,0,5,
die,wsEP_unoconv.py,337,posizionali,1,2,
